framenum , queue density , dynamic density
4206,0.5528,0.237175
4211,0.568309,0.297787
4216,0.578059,0.333203
4221,0.589578,0.353059
4226,0.593081,0.359709
4231,0.583803,0.339603
4236,0.564434,0.336875
4241,0.513062,0.370578
4246,0.463916,0.372169
4251,0.419009,0.368269
4256,0.401444,0.406584
4261,0.398694,0.405012
4266,0.422016,0.385441
4271,0.442497,0.392469
4276,0.4578,0.350969
4281,0.467216,0.349394
4286,0.475278,0.367375
4291,0.483409,0.336306
4296,0.464162,0.354547
4301,0.472547,0.357612
4306,0.485488,0.355003
4311,0.484162,0.352941
4316,0.483866,0.384241
4321,0.473322,0.406666
4326,0.468256,0.382594
4331,0.455069,0.394175
4336,0.444553,0.370822
4341,0.437553,0.365309
4346,0.410431,0.385944
4351,0.413472,0.373191
4356,0.417222,0.370475
4361,0.413528,0.370812
4366,0.409244,0.356409
4371,0.407353,0.351694
4376,0.409291,0.363956
4381,0.397531,0.360516
4386,0.389697,0.357269
4391,0.36705,0.35045
4396,0.346516,0.336441
4401,0.339991,0.31395
4406,0.334472,0.310809
4411,0.333338,0.304216
4416,0.332759,0.282037
4421,0.338213,0.276853
4426,0.323534,0.270625
4431,0.313881,0.283966
4436,0.308638,0.304856
4441,0.319572,0.307797
4446,0.329512,0.329638
4451,0.351587,0.338662
4456,0.352769,0.333353
4461,0.346325,0.334366
4466,0.355103,0.344838
4471,0.358281,0.339341
4476,0.360459,0.322622
4481,0.325306,0.320303
4486,0.310488,0.292331
4491,0.297734,0.291725
4496,0.294837,0.271769
4501,0.316166,0.258616
4506,0.353038,0.264497
4511,0.369025,0.283341
4516,0.376984,0.286353
4521,0.347806,0.2775
4526,0.350203,0.278966
4531,0.373822,0.284519
4536,0.363187,0.274209
4541,0.349581,0.264981
4546,0.333969,0.257581
4551,0.314969,0.254803
4556,0.293825,0.260822
4561,0.293463,0.255678
4566,0.290434,0.252903
4571,0.294712,0.259544
4576,0.294331,0.253019
4581,0.275363,0.241447
4586,0.279822,0.246787
4591,0.280456,0.225906
4596,0.289641,0.229303
4601,0.285403,0.223912
4606,0.28155,0.21405
4611,0.278244,0.207878
4616,0.268459,0.192912
4621,0.258475,0.181675
4626,0.245737,0.172994
4631,0.248569,0.188247
4636,0.244253,0.186091
4641,0.248972,0.178747
4646,0.253506,0.192284
4651,0.273528,0.205487
4656,0.293722,0.208819
4661,0.292556,0.206606
4666,0.280116,0.193097
4671,0.262163,0.180269
4676,0.23945,0.170572
4681,0.221203,0.158209
4686,0.214134,0.166122
4691,0.228991,0.190803
4696,0.234788,0.181619
4701,0.22755,0.176509
4706,0.226353,0.184713
4711,0.227925,0.191241
4716,0.247138,0.206437
4721,0.257822,0.221897
4726,0.257731,0.222772
4731,0.258984,0.213938
4736,0.259219,0.206431
4741,0.238869,0.188372
4746,0.220875,0.167681
